Majority.protein.IDs	Gene.names	quantified	Potential.contaminant	Intensity_Ctrl_acetylated_1	Intensity_Ctrl_acetylated_2	Intensity_Ctrl_acetylated_3	Intensity_GFP_Atg8_acetylated_1	Intensity_GFP_Atg8_acetylated_2	Intensity_GFP_Atg8_acetylated_3	LFQIntensity_Ctrl_acetylated_1	LFQIntensity_Ctrl_acetylated_2	LFQIntensity_Ctrl_acetylated_3	LFQIntensity_GFP_Atg8_acetylated_1	LFQIntensity_GFP_Atg8_acetylated_2	LFQIntensity_GFP_Atg8_acetylated_3	ImputedIntensity_Ctrl_acetylated_1	ImputedIntensity_Ctrl_acetylated_2	ImputedIntensity_Ctrl_acetylated_3	ImputedIntensity_GFP_Atg8_acetylated_1	ImputedIntensity_GFP_Atg8_acetylated_2	ImputedIntensity_GFP_Atg8_acetylated_3	iBAQ_Ctrl_acetylated_1	iBAQ_Ctrl_acetylated_2	iBAQ_Ctrl_acetylated_3	iBAQ_GFP_Atg8_acetylated_1	iBAQ_GFP_Atg8_acetylated_2	iBAQ_GFP_Atg8_acetylated_3	razorUniqueCount_Ctrl_acetylated_1	razorUniqueCount_Ctrl_acetylated_2	razorUniqueCount_Ctrl_acetylated_3	razorUniqueCount_GFP_Atg8_acetylated_1	razorUniqueCount_GFP_Atg8_acetylated_2	razorUniqueCount_GFP_Atg8_acetylated_3	AveExpr_GFP_Atg8_acetylated__vs__Ctrl_acetylated	logFC_GFP_Atg8_acetylated__vs__Ctrl_acetylated	P.Value_GFP_Atg8_acetylated__vs__Ctrl_acetylated	adj.P.Val_GFP_Atg8_acetylated__vs__Ctrl_acetylated
Q03161	YMR099C	+		22.740262515183435	22.042680530118975	21.484378039807613	22.295264753552964	23.113881235569206	23.259790666156217	22.430239417015777	21.732110481195093	21.157901375573978	21.313534360688006	21.9257361705673	21.616806816598064	21.979183094511153	21.884985328441598	21.48227107846072	21.449434956990046	21.45659012002265	21.923864043212053	21.897424962990666	20.821387803314828	20.272952167051944	21.143802314562024	21.922525943707967	22.070568453994717	1	1	2	1	3	2	21.696054770273037	-0.17218346039624066	0.46271038729913005	0.9965342103788666
Q03195	RLI1																											0	0	0	0	1	0				
Q03558	OYE2	+		24.623725906423708	23.977247251886077	23.24159713888181	23.96479614403207	24.347366979709086	23.827861636928763	23.896037809601616	23.10876164372776	22.43305064437224	23.176191414530443	23.395729190182198	23.007317331850142	23.444981487096992	23.261636490974265	22.757420347258982	23.312092010832483	22.926583139637547	23.31437455846413	24.003280775567386	22.978346946418377	22.25256368746259	23.03572612637758	23.378404109184295	22.86103184610371	3	1	0	1	2	0	23.169514672377403	0.02967046120130945	0.8973433000156243	0.9965342103788666
Q03579	LIP1			21.05699452158418	20.33805604229984	20.091180706186528	20.566827229029183	20.94318714687616	20.371681794228838													21.799119470112565	20.701725816216847	20.464717334152017	21.0003272907594	21.336794355736078	20.767422082788496	1	0	0	0	0	0				
Q03640	TCB3			21.331377316487377	21.881400974997668	21.304616193880094	21.574215620346656	22.115007760704493	22.074123328838883													18.772332730295197	18.94390121419411	18.376983287125018	18.706546147356306	19.207445434843844	19.168694082677977	0	1	1	1	1	0				
Q03655	GAS3			20.64660687324754	20.64980778177376	20.319662419693323	20.022233963041288	21.310697644882833	20.130042355360086													19.49564702569244	19.120392759607277	18.800114251575323	18.562649228688016	19.81122005765926	18.632697847836255	0	1	0	0	1	0				
Q03690	CLU1	+		27.69258118373317	27.069735293434878	27.138268538144448	27.358352097692094	27.075713162076518	27.320648320472007	27.97605509471239	27.34314344972823	26.799675122836327	26.904094775421743	26.99286237690607	27.22840504732378	27.524998772207766	27.496018296974736	27.124044825723068	27.039995371723784	26.52371632636142	27.535462273937767	25.242061054319162	24.24075998940949	24.31916008816754	24.599207081479914	24.27667529299404	24.52374353108927	3	6	4	3	4	3	27.20737264448809	-0.34862930762753663	0.25125264686578286	0.9965342103788666
Q03862	ARX1			22.19577919368925	21.032562359001105	22.351096943957273	21.868570968316458	22.77443007054971	21.319135146635425													20.838368468666726	19.296696459367197	20.625097898371845	20.20253535649576	21.068501605858714	19.61533976164417	0	1	0	0	0	0				
Q03940	RVB1	+		23.637290300800434	23.10593311904737	23.0036333699218	23.35060849870857	23.932265403050458	22.881056065374853	22.6851381288102	22.12304120669006	22.01584122724795	22.353505464147375	22.98076001482754	21.90655403904868	22.234081806305575	22.275916053936566	22.340210930134692	22.489406060449415	22.511613964282887	22.213611265662667	22.60180767066527	21.691995314300826	21.599562419223737	22.006500981775236	22.54826503324682	21.49918877527096	1	0	1	1	3	0	22.344140013461963	0.12147416667271216	0.41022653247582375	0.9965342103788666
Q04067	TIF35	+		22.230654351913394	22.209308632644504	21.51034743019511	22.186252400097004	22.591304903097043	21.763663819304924		21.91076648720052		21.798389211838284	22.17131089791171	21.54729879752454	19.880983277681565	22.063641334447023	20.3337296098333	21.934289808140324	21.702164847367058	21.85435602413853	22.195171721778227	21.79537082789796	21.106276479497048	21.84214488316367	22.207304533293406	21.38179652920103	1	2	2	1	1	1	21.29486081693463	1.0708188192280055	0.10620538382307193	0.9965342103788666
